table,column,type,description,is_key,table_key,table_granularity,table_denominator,unit,denominator,input_class,source,limitations
fact_disease_cost_observed,date_key,str,Stable period key for relationships,True,date_key + diagnosis_code + metric_code,Germany x year x selected ICD group x metric,row-specific: national all-payer total or resident population,not applicable,table-specific,official disease-cost estimate,Destatis 23631-0001,Preserve source scope and denominator; do not infer missing dimensions
fact_disease_cost_observed,year,int64,Calendar year,False,date_key + diagnosis_code + metric_code,Germany x year x selected ICD group x metric,row-specific: national all-payer total or resident population,year,not applicable,official disease-cost estimate,Destatis 23631-0001,Preserve source scope and denominator; do not infer missing dimensions
fact_disease_cost_observed,diagnosis_code,str,diagnosis code,True,date_key + diagnosis_code + metric_code,Germany x year x selected ICD group x metric,row-specific: national all-payer total or resident population,see table,see table,official disease-cost estimate,Destatis 23631-0001,Preserve source scope and denominator; do not infer missing dimensions
fact_disease_cost_observed,diagnosis_label,str,diagnosis label,False,date_key + diagnosis_code + metric_code,Germany x year x selected ICD group x metric,row-specific: national all-payer total or resident population,see table,see table,official disease-cost estimate,Destatis 23631-0001,Preserve source scope and denominator; do not infer missing dimensions
fact_disease_cost_observed,metric_code,str,metric code,True,date_key + diagnosis_code + metric_code,Germany x year x selected ICD group x metric,row-specific: national all-payer total or resident population,see table,see table,official disease-cost estimate,Destatis 23631-0001,Preserve source scope and denominator; do not infer missing dimensions
fact_disease_cost_observed,metric,str,metric,False,date_key + diagnosis_code + metric_code,Germany x year x selected ICD group x metric,row-specific: national all-payer total or resident population,see table,see table,official disease-cost estimate,Destatis 23631-0001,Preserve source scope and denominator; do not infer missing dimensions
fact_disease_cost_observed,value,float64,Published disease-cost value,False,date_key + diagnosis_code + metric_code,Germany x year x selected ICD group x metric,row-specific: national all-payer total or resident population,row-specific,row-specific,official disease-cost estimate,Destatis 23631-0001,Preserve source scope and denominator; do not infer missing dimensions
fact_disease_cost_observed,unit,str,unit,False,date_key + diagnosis_code + metric_code,Germany x year x selected ICD group x metric,row-specific: national all-payer total or resident population,see table,see table,official disease-cost estimate,Destatis 23631-0001,Preserve source scope and denominator; do not infer missing dimensions
fact_disease_cost_observed,quality_flag,str,quality flag,False,date_key + diagnosis_code + metric_code,Germany x year x selected ICD group x metric,row-specific: national all-payer total or resident population,see table,see table,official disease-cost estimate,Destatis 23631-0001,Preserve source scope and denominator; do not infer missing dimensions
fact_disease_cost_observed,source_id,str,source id,False,date_key + diagnosis_code + metric_code,Germany x year x selected ICD group x metric,row-specific: national all-payer total or resident population,see table,see table,official disease-cost estimate,Destatis 23631-0001,Preserve source scope and denominator; do not infer missing dimensions
fact_disease_cost_observed,input_class,str,input class,False,date_key + diagnosis_code + metric_code,Germany x year x selected ICD group x metric,row-specific: national all-payer total or resident population,see table,see table,official disease-cost estimate,Destatis 23631-0001,Preserve source scope and denominator; do not infer missing dimensions
fact_disease_cost_observed,geography,str,geography,False,date_key + diagnosis_code + metric_code,Germany x year x selected ICD group x metric,row-specific: national all-payer total or resident population,see table,see table,official disease-cost estimate,Destatis 23631-0001,Preserve source scope and denominator; do not infer missing dimensions
fact_disease_cost_observed,payer_scope,str,payer scope,False,date_key + diagnosis_code + metric_code,Germany x year x selected ICD group x metric,row-specific: national all-payer total or resident population,see table,see table,official disease-cost estimate,Destatis 23631-0001,Preserve source scope and denominator; do not infer missing dimensions
fact_disease_cost_observed,denominator,str,denominator,False,date_key + diagnosis_code + metric_code,Germany x year x selected ICD group x metric,row-specific: national all-payer total or resident population,see table,see table,official disease-cost estimate,Destatis 23631-0001,Preserve source scope and denominator; do not infer missing dimensions
raw_inventory,dataset,str,dataset,False,file,one row per acquired RAW path,not applicable,see table,see table,mixed; see row input_class,Phase 2 RAW manifest,Preserve source scope and denominator; do not infer missing dimensions
raw_inventory,file,str,file,True,file,one row per acquired RAW path,not applicable,see table,see table,mixed; see row input_class,Phase 2 RAW manifest,Preserve source scope and denominator; do not infer missing dimensions
raw_inventory,institution,str,institution,False,file,one row per acquired RAW path,not applicable,see table,see table,mixed; see row input_class,Phase 2 RAW manifest,Preserve source scope and denominator; do not infer missing dimensions
raw_inventory,status,str,status,False,file,one row per acquired RAW path,not applicable,see table,see table,mixed; see row input_class,Phase 2 RAW manifest,Preserve source scope and denominator; do not infer missing dimensions
raw_inventory,input_class,str,input class,False,file,one row per acquired RAW path,not applicable,see table,see table,mixed; see row input_class,Phase 2 RAW manifest,Preserve source scope and denominator; do not infer missing dimensions
raw_inventory,period,str,period,False,file,one row per acquired RAW path,not applicable,see table,see table,mixed; see row input_class,Phase 2 RAW manifest,Preserve source scope and denominator; do not infer missing dimensions
raw_inventory,geography,str,geography,False,file,one row per acquired RAW path,not applicable,see table,see table,mixed; see row input_class,Phase 2 RAW manifest,Preserve source scope and denominator; do not infer missing dimensions
raw_inventory,observational_unit,str,observational unit,False,file,one row per acquired RAW path,not applicable,see table,see table,mixed; see row input_class,Phase 2 RAW manifest,Preserve source scope and denominator; do not infer missing dimensions
raw_inventory,format,str,format,False,file,one row per acquired RAW path,not applicable,see table,see table,mixed; see row input_class,Phase 2 RAW manifest,Preserve source scope and denominator; do not infer missing dimensions
raw_inventory,fields_relevant,str,fields relevant,False,file,one row per acquired RAW path,not applicable,see table,see table,mixed; see row input_class,Phase 2 RAW manifest,Preserve source scope and denominator; do not infer missing dimensions
raw_inventory,units,str,units,False,file,one row per acquired RAW path,not applicable,see table,see table,mixed; see row input_class,Phase 2 RAW manifest,Preserve source scope and denominator; do not infer missing dimensions
raw_inventory,granularity,str,granularity,False,file,one row per acquired RAW path,not applicable,see table,see table,mixed; see row input_class,Phase 2 RAW manifest,Preserve source scope and denominator; do not infer missing dimensions
raw_inventory,is_duplicate_content,bool,is duplicate content,False,file,one row per acquired RAW path,not applicable,see table,see table,mixed; see row input_class,Phase 2 RAW manifest,Preserve source scope and denominator; do not infer missing dimensions
raw_inventory,duplicate_relationship,str,duplicate relationship,False,file,one row per acquired RAW path,not applicable,see table,see table,mixed; see row input_class,Phase 2 RAW manifest,Preserve source scope and denominator; do not infer missing dimensions
raw_inventory,limitations,str,limitations,False,file,one row per acquired RAW path,not applicable,see table,see table,mixed; see row input_class,Phase 2 RAW manifest,Preserve source scope and denominator; do not infer missing dimensions
raw_inventory,allowed_use,str,allowed use,False,file,one row per acquired RAW path,not applicable,see table,see table,mixed; see row input_class,Phase 2 RAW manifest,Preserve source scope and denominator; do not infer missing dimensions
raw_inventory,prohibited_use,str,prohibited use,False,file,one row per acquired RAW path,not applicable,see table,see table,mixed; see row input_class,Phase 2 RAW manifest,Preserve source scope and denominator; do not infer missing dimensions
control_totals,table,str,table,True,table + metric,one row per validation control,not applicable,see table,see table,derived validation,project validation specification and generated outputs,Preserve source scope and denominator; do not infer missing dimensions
control_totals,metric,str,metric,True,table + metric,one row per validation control,not applicable,see table,see table,derived validation,project validation specification and generated outputs,Preserve source scope and denominator; do not infer missing dimensions
control_totals,expected_value,float64,expected value,False,table + metric,one row per validation control,not applicable,see table,see table,derived validation,project validation specification and generated outputs,Preserve source scope and denominator; do not infer missing dimensions
control_totals,actual_value,float64,actual value,False,table + metric,one row per validation control,not applicable,see table,see table,derived validation,project validation specification and generated outputs,Preserve source scope and denominator; do not infer missing dimensions
control_totals,method,str,method,False,table + metric,one row per validation control,not applicable,see table,see table,derived validation,project validation specification and generated outputs,Preserve source scope and denominator; do not infer missing dimensions
control_totals,source,str,source,False,table + metric,one row per validation control,not applicable,see table,see table,derived validation,project validation specification and generated outputs,Preserve source scope and denominator; do not infer missing dimensions
control_totals,tolerance,float64,tolerance,False,table + metric,one row per validation control,not applicable,see table,see table,derived validation,project validation specification and generated outputs,Preserve source scope and denominator; do not infer missing dimensions
control_totals,status,str,status,False,table + metric,one row per validation control,not applicable,see table,see table,derived validation,project validation specification and generated outputs,Preserve source scope and denominator; do not infer missing dimensions
scenario_framework,parameter,str,parameter,True,parameter,one row per required model parameter or result gate,not applicable,see table,see table,mixed; see row input_class,minimum F6.2 assessment,Preserve source scope and denominator; do not infer missing dimensions
scenario_framework,status,str,status,False,parameter,one row per required model parameter or result gate,not applicable,see table,see table,mixed; see row input_class,minimum F6.2 assessment,Preserve source scope and denominator; do not infer missing dimensions
scenario_framework,input_class,str,input class,False,parameter,one row per required model parameter or result gate,not applicable,see table,see table,mixed; see row input_class,minimum F6.2 assessment,Preserve source scope and denominator; do not infer missing dimensions
scenario_framework,source,str,source,False,parameter,one row per required model parameter or result gate,not applicable,see table,see table,mixed; see row input_class,minimum F6.2 assessment,Preserve source scope and denominator; do not infer missing dimensions
scenario_framework,quality,str,quality,False,parameter,one row per required model parameter or result gate,not applicable,see table,see table,mixed; see row input_class,minimum F6.2 assessment,Preserve source scope and denominator; do not infer missing dimensions
scenario_framework,permitted_use,str,permitted use,False,parameter,one row per required model parameter or result gate,not applicable,see table,see table,mixed; see row input_class,minimum F6.2 assessment,Preserve source scope and denominator; do not infer missing dimensions
scenario_framework,blocks_calculation,bool,blocks calculation,False,parameter,one row per required model parameter or result gate,not applicable,see table,see table,mixed; see row input_class,minimum F6.2 assessment,Preserve source scope and denominator; do not infer missing dimensions
scenario_framework,treatment,str,treatment,False,parameter,one row per required model parameter or result gate,not applicable,see table,see table,mixed; see row input_class,minimum F6.2 assessment,Preserve source scope and denominator; do not infer missing dimensions
